name,ari,munkres,si,dbi,best_cv
Needle_Passing_pos_eedist_win3_kpca12_gmm_fixed,0.08282079706750407,0.27313200378905,0.5193720437338472,3.284495122179183,6
Needle_Passing_pos_eedist_win3_kpca12_gmm_dp,0.06572359540728358,0.2220094845280481,0.494464017618135,3.582398617438983,4
Suturing_pos_eedist_win3_kpca12_gmm_bic,0.0795419237874065,0.2198137787464892,0.4954077514098526,4.153584317465321,0
Suturing_pos_eedist_win3_kpca12_hdp_hsmm,0.11928889839411985,0.29613170730598354,0.49882486593046066,4.273823185023346,5
Suturing_pos_eedist_win3_kpca12_gmm_gmeans,0.023193560428206604,0.08841663962415489,0.42849118080483073,5.241536660740739,4
Suturing_pos_eedist_win3_kpca12_gmm_fixed,0.16495233748952248,0.36707577931499846,0.5431959102079011,2.5714432187090246,2
Knot_Tying_pos_eedist_win3_kpca12_gmm_gmeans,0.0427514054688299,0.11974204142222622,0.4403224823640784,4.809572392653405,1
Needle_Passing_pos_eedist_win3_kpca12_gmm_gmeans,0.027180678513129903,0.10375349586251423,0.4374699405780577,4.981279373366994,6
Needle_Passing_pos_eedist_win3_kpca12_gmm_bic,0.060152471971770566,0.22007243698506895,0.4949905520471032,3.844452264646562,0
Knot_Tying_pos_eedist_win3_kpca12_hdp_hsmm,0.1595860065467134,0.33875094494835456,0.521127034921567,3.6900708385454,1
Suturing_pos_eedist_win3_kpca12_gmm_dp,0.07078761291399907,0.2091056323651305,0.4879722559391027,4.181094385419108,6
Knot_Tying_pos_eedist_win3_kpca12_gmm_bic,0.2007305966096812,0.3800778346789898,0.5472542856455455,2.9269316552732745,7
Knot_Tying_pos_eedist_win3_kpca12_gmm_dp,0.17735762944356806,0.35573520792861757,0.5311862356052173,3.375366545166088,4
Knot_Tying_pos_eedist_win3_kpca12_gmm_fixed,0.21669548349334233,0.5220252909002487,0.5768274594340709,2.034079380962659,3
Needle_Passing_pos_eedist_win3_kpca12_hdp_hsmm,0.07240439305059006,0.22778984263165578,0.49049062359155976,4.127820383680227,0
